SHOP_ID,01,02,03,04,05,06,07,08,09,10,11,12,13,14,credit
1624,342.460601807,356.737293473,327.932280973,397.875639306,460.070626806,465.322255973,351.655589307,340.695255263,354.97194693,326.16693443,396.110292763,458.305280263,463.55690943,349.890242763,0.687666530832
1709,901.51066301,839.818933844,861.038983844,825.705650511,182.038983844,171.51066301,908.177329677,901.494967167,839.803238001,861.023288,825.689954667,182.023288,171.494967167,908.161633834,0.683483916074
1178,222.238238095,225.571571429,233.571571429,211.571571429,66.5715714286,53.2382380952,249.238238095,220.96852381,224.301857143,232.301857143,210.301857143,65.3018571429,51.9685238095,247.96852381,0.680137642292
1875,811.926255199,785.397934366,805.397934366,757.536280199,56.2029468655,57.5362801988,826.592921866,818.921467228,792.393146394,812.393146394,764.531492227,63.198158894,64.5314922273,833.588133895,0.677866228521
460,259.221142857,270.082797024,271.221142857,299.887809524,92.2211428571,35.9444511909,268.221142857,259.417714286,270.279368453,271.417714286,300.084380952,92.4177142857,36.1410226195,268.417714286,0.673826797787
34,362.104619048,355.104619048,326.771285714,450.104619048,556.771285714,473.437952381,371.104619048,366.345761905,359.345761905,331.012428571,454.345761905,561.012428571,477.679095238,375.345761905,0.670392314974
1694,31.6894434453,25.6894434453,25.6894434453,34.8844309456,131.079418446,144.463419477,29.356110112,35.2652450264,29.2652450264,29.2652450264,38.4602325266,134.655220027,148.039221058,32.931911693,0.66947561559
1867,245.979035189,226.137012252,224.979035189,238.589060188,68.5890601884,50.5890601884,232.922393522,249.465607208,229.623584271,228.465607208,242.075632208,72.0756322077,54.0756322077,236.408965541,0.666790796708
1444,63.7333809524,61.7333809524,42.400047619,91.0667142857,173.400047619,148.400047619,59.400047619,67.3482380952,65.3482380952,46.0149047619,94.6815714286,177.014904762,152.014904762,63.0149047619,0.662676572955
1855,236.953437458,235.425116625,238.010079125,247.481758292,132.091783291,78.4251166248,230.953437458,247.701689273,246.173368439,248.75833094,258.230010106,142.840035106,89.1733684395,241.701689273,0.659008930107
897,264.287702629,269.621035962,275.759381795,388.344344296,586.709256797,567.872665129,255.067652629,267.036782743,272.370116076,278.508461909,391.09342441,589.458336911,570.621745244,257.816732744,0.658231552582
900,529.339431447,547.339431447,582.636297043,665.842689782,1048.92547935,963.535504347,530.89335748,533.582111247,551.582111247,586.878976843,670.085369582,1053.16815915,967.778184148,535.13603728,0.658075978977
1108,96.875047619,104.541714286,103.541714286,139.541714286,183.875047619,166.875047619,99.2083809524,102.689904762,110.356571429,109.356571429,145.356571429,189.689904762,172.689904762,105.023238095,0.656106736982
1302,481.262796516,499.18109235,446.262796516,569.652771517,1222.98610485,1170.18109235,557.652771516,496.60750453,514.525800364,461.60750453,584.997479531,1238.33081286,1185.52580036,572.99747953,0.654540463921
1296,585.482486234,624.734115401,624.9541654,730.677473734,1272.7090529,1370.9797706,666.482486234,588.108411034,627.360040202,627.580090201,733.303398535,1275.3349777,1373.6056954,669.108411034,0.648861954315
215,125.956424234,139.818078401,130.6230909,172.289757567,312.289757567,294.956424234,128.956424234,124.732505034,138.594159201,129.399171701,171.065838367,311.065838367,293.732505034,127.732505034,0.647485189119
32,405.321008298,451.849329132,418.654341631,433.629279132,164.792687464,96.1260207976,442.434291632,407.803397155,454.331717989,421.136730488,436.111667989,167.275076321,98.6084096548,444.916680489,0.647293286113
559,226.976714286,225.976714286,219.310047619,195.976714286,38.6433809524,49.6433809524,230.310047619,222.511571429,221.511571429,214.844904762,191.511571429,34.1782380952,45.1782380952,225.844904762,0.645254201591
1220,223.305842871,220.834163704,210.972509537,227.834163704,83.5008303708,76.9725095373,205.639176204,225.94807357,223.476394404,213.614740237,230.476394404,86.1430610706,79.6147402371,208.281406904,0.644279704719
538,38.4868863625,47.1535530292,37.1535530292,49.1535530292,132.34854053,111.153553029,31.1535530292,37.1418964626,45.8085631292,35.8085631292,47.8085631292,131.00355063,109.808563129,29.8085631292,0.641407624511
904,77.5982857143,82.264952381,85.5982857143,83.9316190476,176.931619048,185.264952381,95.264952381,91.4634285714,96.1300952381,99.4634285714,97.7967619048,190.796761905,199.130095238,109.130095238,0.641081105444
1716,185.082205424,173.943859591,181.415538757,159.082205424,33.7488720903,22.4155387569,192.74887209,189.896017652,178.757671819,186.229350985,163.896017652,38.5626843187,27.2293509853,197.562684319,0.638425375608
1925,71.5611720768,73.2278387435,78.2278387435,90.8945054102,175.561172077,161.422826244,71.2278387435,77.393325034,79.0599917007,84.0599917007,96.7266583673,181.393325034,167.254979201,77.0599917007,0.635773888166
87,134.878761905,137.878761905,124.212095238,115.545428571,22.5454285714,26.2120952381,133.212095238,136.25247619,139.25247619,125.585809524,116.919142857,23.9191428571,27.5858095238,134.585809524,0.630244704264
744,61.9285395565,74.7901937234,67.6518478903,99.7901937234,186.708489558,164.513502058,61.6518478903,58.9020561993,71.7637103662,64.6253645331,96.7637103662,183.6820062,161.4870187,58.6253645331,0.629297298205
1733,109.786142857,122.11947619,129.452809524,130.11947619,23.4528095238,11.1194761905,133.11947619,112.262714286,124.596047619,131.929380952,132.596047619,25.9293809524,13.596047619,135.596047619,0.628077562032
